"","x"
"1032","656,-656,"
"1033","455,-455,"
"1034","455,-470,"
"1035","455,664,"
"1036","455,736,"
"1037","470,-455,"
"1038","470,-470,"
"1039","470,664,"
"1040","470,736,"
"1041","-736,-455,"
"1042","-736,-470,"
"1043","-736,664,"
"1044","-736,736,"
"1045","-173,213,"
"1046","-173,-99,"
"1047","-4,-233,"
"1048","-4,233,"
"1049","4,-233,"
"1050","-213,170,"
"1051","-213,-65,"
"1052","99,170,"
"1053","99,-65,"
"1054","129,170,"
"1055","-213,-55,"
"1056","99,-55,"
"1057","-20,170,"
"1058","-213,185,"
"1059","99,185,"
"1060","222,-10,"
"1061","-287,-31,"
"1062","-287,33,"
"1063","323,-31,"
"1064","323,33,"
"1065","-329,-10,"
"1066","434,33,"
"1067","883,33,"
"1068","-12,-11,"
"1069","-12,-165,"
"1070","-12,-38,"
"1071","165,-11,"
"1072","-27,-11,"
"1073","38,-11,"
"1074","-54,-4,"
"1075","-54,4,"
"1076","-80,-11,"
"1077","-237,-85,"
"1078","247,-85,"
"1079","-157,39,"
"1080","64,39,"
"1081","68,39,"
"1082","-70,39,"
"1083","-290,-201,"
"1084","391,-201,"
"1085","-141,278,"
"1086","-141,-349,"
"1087","166,278,"
"1088","166,-349,"
"1089","10,-149,"
"1090","10,280,"
"1091","-8,-149,"
"1092","-8,280,"
"1093","-187,187,"
"1094","147,-147,"
"1095","147,187,"
"1096","-187,-147,"
"1097","-402,163,"
"1098","-402,287,"
"1099","-402,302,"
"1100","-402,-323,"
"1101","-402,-434,"
"1102","-402,-479,"
"1103","621,163,"
"1104","621,287,"
"1105","621,302,"
"1106","621,-323,"
"1107","621,-434,"
"1108","621,-479,"
"1109","-382,-276,"
"1110","-382,277,"
"1111","-382,-299,"
"1112","-382,330,"
"1113","-382,-356,"
"1114","-382,471,"
"1115","429,-276,"
"1116","429,277,"
"1117","429,-299,"
"1118","429,330,"
"1119","429,-356,"
"1120","429,471,"
"1121","-330,471,"
"1122","356,471,"
"1123","-4,424,"
"1124","-163,402,"
"1125","-163,-621,"
"1126","-287,402,"
"1127","-287,-621,"
"1128","-302,402,"
"1129","-302,-621,"
"1130","323,402,"
"1131","323,-621,"
"1132","434,402,"
"1133","434,-479,"
"1134","434,-621,"
"1135","479,402,"
"1136","479,-621,"
"1137","147,157,"
"1138","-187,157,"
"1139","147,-270,"
"1140","147,87,"
"1141","-187,-270,"
"1142","-187,87,"
"1143","-115,-85,"
"1144","43,-85,"
"1145","168,-204,"
"1146","4,-445,"
"1147","4,445,"
"1148","120,-350,"
"1149","350,-350,"
"1150","350,-43,"
"1151","10,-717,"
"1152","-20,-717,"
"1153","-54,-717,"
"1154","62,-717,"
"1155","-8,-717,"
"1156","-437,157,"
"1157","10,-156,"
"1158","10,228,"
"1159","-8,-156,"
"1160","-8,228,"
"1161","387,-387,"
"1162","387,624,"
"1163","-464,464,"
"1164","-464,-508,"
"1165","508,464,"
"1166","508,-508,"
"1167","-624,-387,"
"1168","-624,624,"
"1169","154,-559,"
"1170","63,115,"
"1171","63,-43,"
"1172","63,-63,"
"1173","-359,4,"
"1174","359,4,"
"1175","-157,437,"
"1176","68,437,"
"1177","658,-31,"
"1178","658,33,"
"1179","-811,-31,"
"1180","-811,33,"
"1181","51,80,"
"1182","-73,80,"
"1183","-224,-224,"
"1184","224,-224,"
"1185","224,224,"
"1186","-224,224,"
"1187","-224,"
"1188","226,382,"
"1189","226,-429,"
"1190","-2,382,"
"1191","-2,-429,"
"1192","-330,382,"
"1193","-330,-429,"
"1194","356,382,"
"1195","356,-429,"
"1196","-143,"
"1197","85,237,"
"1198","94,"
"1199","-224,-4,"
"1200","-224,4,"
"1201","224,-4,"
"1202","224,4,"
"1203","-242,"
"1204","242,"
"1205","222,-129,"
"1206","222,20,"
"1207","-329,-129,"
"1208","-329,20,"
"1209","-265,265,"
"1210","-265,-392,"
"1211","392,265,"
"1212","392,-392,"
"1213","149,-55,"
"1214","-280,-55,"
"1215","10,170,"
"1216","-8,170,"
"1217","-213,-222,"
"1218","-76,143,"
"1219","76,143,"
"1220","-158,173,"
"1221","168,173,"
"1222","-173,173,"
"1223","-277,173,"
"1224","-170,-129,"
"1225","260,-260,"
"1226","260,-263,"
"1227","260,-301,"
"1228","260,-309,"
"1229","260,-484,"
"1230","260,-500,"
"1231","260,-520,"
"1232","520,-260,"
"1233","520,-263,"
"1234","520,-301,"
"1235","520,-309,"
"1236","520,-484,"
"1237","520,-500,"
"1238","520,-520,"
"1239","65,-129,"
"1240","149,20,"
"1241","201,-727,"
"1242","-1011,1011,"
"1243","1027,1011,"
"1244","-445,"
"1245","-4,-359,"
"1246","-4,359,"
"1247","-20,928,"
"1248","226,928,"
"1249","-2,928,"
"1250","62,928,"
"1251","-40,40,"
"1252","-40,-95,"
"1253","64,437,"
"1254","-70,437,"
"1255","222,-222,"
"1256","276,471,"
"1257","-329,-222,"
"1258","-471,471,"
"1259","-283,290,"
"1260","-283,-391,"
"1261","156,213,"
"1262","156,-99,"
"1263","450,-450,"
"1264","-661,-450,"
"1265","445,-76,"
"1266","4,-359,"
"1267","4,359,"
"1268","156,-149,"
"1269","156,158,"
"1270","156,-168,"
"1271","156,280,"
"1272","-771,-10,"
"1273","-771,-129,"
"1274","-771,20,"
"1275","-771,54,"
"1276","-771,-62,"
"1277","-771,8,"
"1278","120,-195,"
"1279","120,934,"
